RAEKE+LB (fixed),KSP+LB (fixed)
0.802168239,0.808253067
0.764639377,0.779977833
0.745804498,0.693908519
0.872276227,0.860362049
0.812369118,0.795993846
0.870766972,0.845377009
0.822217432,0.805317166
0.834449304,0.824527482
0.803121208,0.708099835
0.856339588,0.840291678
0.891950479,0.884554215
0.689585694,0.738419195
0.806393804,0.801344506
0.821123654,0.812576978
0.759342814,0.819277154
0.687272934,0.849240728
0.825570259,0.813642152
0.555294696,0.73571851
0.742765622,0.823481606
0.816359391,0.817325879
0.762413084,0.818206847
0.903329681,0.886944532
0.864315511,0.849874884
0.819143076,0.807493284
0.8611731,0.847614388
0.666346333,0.766088046
0.796271774,0.782808975
0.854687793,0.869797842
0.799387784,0.798576433
0.730017301,0.830577402
0.686324644,0.809503637
0.798995568,0.795523989
0.831442569,0.818243711
0.814091545,0.811145768
0.848314144,0.834799321
0.609424098,0.853754225
0.79562285,0.780512401
0.785986329,0.769904099
0.794498476,0.811521705
0.612814966,0.861803746
0.822498101,0.813430067
0.836437846,0.806360463
0.819069649,0.812399377
0.701473521,0.83762898
0.686300713,0.834963419
0.826067315,0.789244532
0.548815522,0.787067667
0.786718926,0.749801397
0.822991446,0.842249768
0.734959376,0.769257698
0.73911239,0.800458882
0.739946017,0.786050589
0.751949911,0.817081618
0.858491426,0.798402394
0.771538574,0.830751536
0.745216596,0.729441162
0.863742131,0.847094698
0.782937142,0.812111758
0.825579318,0.826392472
0.501319917,0.795544683
0.664615455,0.837355077
0.761449127,0.827711375
0.81416719,0.822491717
0.899964284,0.886578011
0.83072599,0.718356117
0.869441557,0.863768356
0.82208791,0.830893589
0.780487022,0.885489963
0.679928343,0.754821526
0.747901237,0.819219297
0.734077811,0.80721232
0.835557854,0.819289339
0.714421562,0.688044883
0.835711355,0.820331585
0.799784845,0.787238521
0.619684022,0.816181532
0.808385439,0.794358798
0.790306772,0.804598068
0.8085061,0.792987059
0.795316802,0.784124623
0.810838022,0.828337946
0.854462414,0.911360635
0.810094192,0.846887515
0.862859938,0.846547459
0.8248901,0.825614204
0.848445286,0.837177422
0.787699186,0.797060929
0.784026912,0.813395403
0.546362207,0.882898281
0.876254837,0.833446659
0.677267155,0.84237864
0.926137845,0.727685455
0.747804769,0.844299622
0.825261314,0.812082563
0.798912993,0.793090076
0.841864785,0.728494521
0.815123134,0.787794891
0.84497456,0.800053654
0.863654988,0.842130432
0.770132796,0.788551148
0.84389994,0.830757512
0.836667299,0.836667299
0.835816943,0.818768578
0.814644278,0.803722877
0.835734913,0.848675388
0.808369536,0.795603266
0.832971745,0.820014091
0.836598777,0.691669894
0.830558635,0.823264872
0.811041582,0.827395931
0.768974962,0.810646257
0.649772366,0.76566117
0.86550553,0.867187099
0.817416853,0.76682882
0.864519552,0.859594756
0.847274729,0.832967926
0.757248039,0.862322367
0.825071788,0.851249345
0.803166919,0.799666739
0.801612681,0.787189685
0.837627761,0.821179206
0.872619417,0.869093782
0.818717592,0.799725244
0.816470453,0.805925077
0.81930073,0.680357959
0.651430915,0.833181457
0.754872378,0.812375429
0.475280058,0.695543295
0.852058537,0.840629933
0.87721731,0.865256744
0.816076304,0.80217745
0.816956732,0.8077446
0.740772749,0.868771261
0.776545827,0.841446339
0.752070615,0.845673643
0.923072364,0.920216298
0.83451737,0.831718694
0.811817669,0.794670886
0.804949408,0.797118274
0.823056346,0.819380428
0.837871597,0.820867041
0.817719735,0.815299943
0.781823681,0.720755947
0.819649988,0.811735073
0.758523055,0.671588372
0.806377553,0.777298852
0.728678589,0.822054913
0.815130765,0.808275205
0.709759547,0.905935788
0.797181169,0.796510478
0.820457042,0.791898734
0.839930069,0.829181041
0.781090994,0.830611283
0.858088657,0.84787611
0.750208093,0.758723197
0.682866392,0.825657134
0.714864683,0.729912109
0.819005639,0.796567858
0.761977802,0.815777124
0.83730338,0.823847365
0.817901071,0.828032099
0.668678403,0.864716941
