RAEKE+LB (fixed),KSP+LB (fixed)
0.820439404,0.808253067
0.844669931,0.832660854
0.794147516,0.785991605
0.872276227,0.860362049
0.812369118,0.795993846
0.870766972,0.845377009
0.822217432,0.805317166
0.834449304,0.824527482
0.803121208,0.789480111
0.856339588,0.840291678
0.891950479,0.884554215
0.829288125,0.821294354
0.806393804,0.801344506
0.821123654,0.812576978
0.890640425,0.884581844
0.85645156,0.849240728
0.825570259,0.813642152
0.83589526,0.826165724
0.825023189,0.823481606
0.827581948,0.817325879
0.842235531,0.830395118
0.903329681,0.886944532
0.864315511,0.849874884
0.819143076,0.807493284
0.8611731,0.847614388
0.83420548,0.816926063
0.796271774,0.782808975
0.879959093,0.869797842
0.799387784,0.798576433
0.831897079,0.830577402
0.822684927,0.809503637
0.798995568,0.795523989
0.831442569,0.818243711
0.814091545,0.811145768
0.848314144,0.834799321
0.85810839,0.853754225
0.79562285,0.780512401
0.837696274,0.828374971
0.820928958,0.811521705
0.879233634,0.861803746
0.822498101,0.813430067
0.836437846,0.817056688
0.819069649,0.812399377
0.844339639,0.83762898
0.847256237,0.834963419
0.826067315,0.80993501
0.860806786,0.844448848
0.83319831,0.818381253
0.852908079,0.842249768
0.817337149,0.803829517
0.825814719,0.800458882
0.818076879,0.806608682
0.825863453,0.817081618
0.858491426,0.847885008
0.843042605,0.830751536
0.862504721,0.851580565
0.863742131,0.847094698
0.823448455,0.812111758
0.831557203,0.826392472
0.8265683,0.813305795
0.858861562,0.837355077
0.837673406,0.827711375
0.836789623,0.822491717
0.899964284,0.886578011
0.838978807,0.823477705
0.869721622,0.863768356
0.837180465,0.830893589
0.896963541,0.885489963
0.874581236,0.863525415
0.82780312,0.819219297
0.81594528,0.80721232
0.835557854,0.819289339
0.823639698,0.811731429
0.835711355,0.820331585
0.852343128,0.845799734
0.830382715,0.816181532
0.808385439,0.794358798
0.859235218,0.849600545
0.8085061,0.792987059
0.795316802,0.784124623
0.835784134,0.828337946
0.929911905,0.911360635
0.849931429,0.846887515
0.862859938,0.846547459
0.835145908,0.825614204
0.848445286,0.837177422
0.807318966,0.797060929
0.818277225,0.813395403
0.891183884,0.882898281
0.876254837,0.863503182
0.856255314,0.84237864
0.926137845,0.913913948
0.849773466,0.844299622
0.827393593,0.812082563
0.798912993,0.793090076
0.841864785,0.841864785
0.823612311,0.809874761
0.84497456,0.826958793
0.863654988,0.842130432
0.816129886,0.802666868
0.84389994,0.830757512
0.836667299,0.836667299
0.835816943,0.818768578
0.814644278,0.803722877
0.864964478,0.848675388
0.808369536,0.795603266
0.832971745,0.820014091
0.836598777,0.828093443
0.830558635,0.823264872
0.839079019,0.827395931
0.834912379,0.824613529
0.805896997,0.79454775
0.878241898,0.867187099
0.834793984,0.827938771
0.864519552,0.859594756
0.847274729,0.832967926
0.876609574,0.862322367
0.864192632,0.851249345
0.803166919,0.799666739
0.801612681,0.787189685
0.837627761,0.821179206
0.872619417,0.869093782
0.818717592,0.799725244
0.816470453,0.813207272
0.81930073,0.809937424
0.844464872,0.833181457
0.815633585,0.812375429
0.829707541,0.811918639
0.852058537,0.840629933
0.87721731,0.865256744
0.816076304,0.80217745
0.816956732,0.8077446
0.88518346,0.868771261
0.855933503,0.841446339
0.845673643,0.845673643
0.923072364,0.920216298
0.834970419,0.831718694
0.811817669,0.794670886
0.804949408,0.797118274
0.823056346,0.819380428
0.837871597,0.820867041
0.817719735,0.815299943
0.818279649,0.804358189
0.819649988,0.811735073
0.845939579,0.840403737
0.806377553,0.800526484
0.834692874,0.822054913
0.815130765,0.808275205
0.91627328,0.905935788
0.797181169,0.796510478
0.820457042,0.807592471
0.839930069,0.829181041
0.843601842,0.830611283
0.858088657,0.84787611
0.840299025,0.826407466
0.872544715,0.857205263
0.814482032,0.814482032
0.819005639,0.796567858
0.827543062,0.815777124
0.83730338,0.823847365
0.837879554,0.828032099
0.873192016,0.864716941
0.819474085,0.809289285
0.849360736,0.827620971
0.829331671,0.811063741
0.804303778,0.804303778
0.823190611,0.804703039
0.834375934,0.829168966
0.833404366,0.818835092
0.887329144,0.872483848
0.843638302,0.833437246
0.845471204,0.834472238
0.845613578,0.845613578
0.831656118,0.826744082
0.856609339,0.846188829
0.825458183,0.816920317
0.812481987,0.804438048
0.825359791,0.812931651
0.819100852,0.807772474
0.816293941,0.805961712
0.830732755,0.830732755
0.844414007,0.834693952
0.850173953,0.835914848
0.879914176,0.865347518
0.833948648,0.818284189
0.810010579,0.799277505
0.827946588,0.821769654
0.843965527,0.833719145
0.84939902,0.836070729
0.808304661,0.797744717
0.857902433,0.843122913
0.834049874,0.815825713
0.842702036,0.835591198
0.856893332,0.84586863
0.866843488,0.853142131
0.799308473,0.792911762
0.814045385,0.804995395
0.814789388,0.802904983
0.833281337,0.821541969
0.815271253,0.815271253
