RAEKE+LB (fixed),KSP+LB (fixed)
99.84558902,100
99.69225319,99.3365918
100,100
98.25506369,98.91579846
99.8639942,100
98.87659587,99.48110226
97.52598993,98.26639872
98.99814348,99.71039121
99.9253176,99.74749383
99.42943633,99.61228886
98.63533748,98.98729918
99.43296513,99.70318749
99.92306792,100
100,99.95004322
98.85910587,99.59086025
99.49170631,99.60953729
99.68991403,100
99.76854792,99.89714906
99.16548111,99.67776265
98.80972783,99.55311967
99.90003212,99.28078781
98.31365026,99.0246271
97.99852113,99.35706508
99.60198851,99.54678114
99.11380882,98.87002038
99.35252427,99.83022751
99.16994876,99.44473905
98.73373598,99.23853671
99.54073238,100
99.79749156,98.97714166
99.81355298,99.97485606
100,100
99.57506987,99.83051034
99.52995744,99.73006274
99.8396355,99.66560868
99.18678472,99.04958199
100,99.99474921
99.25176094,99.54368702
99.3855855,99.9429153
99.33500081,99.3928869
99.6589569,99.90823595
99.46487572,99.84032448
99.96211549,99.83401431
99.771626,99.84999553
99.13904759,99.72737395
99.10218034,99.8569752
98.89571713,99.60488525
100,100
99.12826373,99.69747437
99.80735756,99.94258712
99.85026575,100
99.88952764,99.98728188
99.64649552,99.81293726
99.49374127,99.44784431
99.49797031,99.3871065
98.9760336,99.4655666
98.88821169,99.84523271
99.57354712,99.89644342
99.84887475,99.86020169
99.79720183,100
98.85638103,99.64373554
99.74660907,99.64102858
99.6086742,99.9482094
98.86206516,99.42357927
99.59505942,99.92252844
99.51794559,99.79778374
99.54764707,99.44483049
97.34142839,99.33343671
99.01266804,99.71146169
99.91240521,99.60455887
99.86776679,99.9687011
99.45619539,99.79876932
99.77225683,99.97148477
99.38311051,100
99.73889473,99.98798354
99.81455451,99.96887755
99.67861758,100
98.76612636,99.34252695
99.96850744,99.75680047
99.81470419,100
99.20988372,99.92028643
98.18669431,98.67058727
99.80485273,99.5753322
99.62246747,99.23977278
99.74589054,99.83954337
99.07756043,99.56150744
99.86495207,99.90639069
99.83993974,99.87891916
98.25951838,98.88151437
98.9591902,99.58450362
99.45467497,99.56379496
97.50014246,97.52530404
99.26272109,99.55787652
99.80274752,99.88773842
100,99.81415988
99.10501989,99.46154663
99.64100007,99.66753398
99.90224231,99.44197916
99.39741652,99.67070083
99.78302604,99.95451371
99.55842659,99.20346647
99.68828186,99.68243133
99.82530914,99.85399665
99.99274118,99.75473527
98.88585046,99.81697209
100,100
99.79660776,99.82541057
99.92787309,99.44484736
99.73781755,99.84201785
99.26611955,99.29502945
99.97084975,99.43666355
99.56506853,99.83457113
99.36999091,99.39146132
99.41433642,99.8242551
99.38872436,99.54375887
99.58652913,99.38592697
98.99417955,98.95250822
99.35646628,99.48956259
99.58683036,99.91985819
99.93819156,100
99.71266039,99.63826125
97.92279635,98.82338803
99.84018736,99.91571432
99.90713225,100
99.79706979,100
98.95533788,99.60217216
99.82871788,99.66426359
99.99586199,99.79068478
99.57237925,99.28347738
98.41328335,99.13364496
99.48166983,99.83212446
99.48538614,100
97.90718097,99.46079176
98.71213829,99.51065843
99.3714039,99.81421652
96.63744576,97.5455424
99.56272041,99.41050283
100,100
99.11911093,99.31470331
98.43877418,99.5892256
99.39777308,99.97073017
99.87655536,99.65898707
99.69141198,99.96355577
99.18450686,98.89058596
99.4646401,99.82966549
99.75032591,99.94420459
99.95106214,99.80534038
99.63842532,99.86127425
96.10217014,97.57473475
99.91884337,99.9163918
99.73979412,100
99.42267855,99.59548943
99.69482696,99.40233812
98.96170771,98.92924537
99.31780549,99.85869118
98.1852603,98.77723773
99.48566171,99.8129442
99.57834944,99.96763396
99.76166754,99.8008614
99.73030766,99.59498712
99.40334254,99.83798897
98.50832487,99.06764168
99.22815507,99.38835777
99.43878601,99.05784076
99.59863013,99.87916601
99.9102735,99.65702068
99.70048348,99.26838034
99.58439041,99.92318169
99.70970371,99.86027365
98.74620454,98.67122428
99.73362806,99.85779003
99.42774671,99.78288549
98.47837972,99.12508494
99.70749287,99.86254467
99.62724596,99.2878324
99.68453309,99.89157978
99.5944797,100
99.80597237,99.88321396
99.49500644,99.36601662
99.4229518,99.72229555
99.60783931,99.97126841
99.44327866,99.64973568
99.17170675,99.21224057
98.77141947,99.17682341
99.89781476,99.75429419
99.89948788,100
99.32584437,99.879836
99.88928658,99.68458564
99.74863257,99.80796088
100,100
99.1747288,98.88839752
99.77791072,99.84745804
99.30010582,99.17071492
99.31687545,99.6570875
98.27171512,97.99809002
99.88479472,99.89026838
99.89822633,99.84771007
99.95567832,99.91916601
99.78335945,99.93658773
99.35998508,99.75671611
