KSP+AD,KSP+LB
0.903,1.433
0.903,1.433
0.903,1.433
0.903,1.433
0.903,1.433
0.903,1.433
0.903,1.433
0.903,1.433
0.903,1.433
0.903,1.433
0.903,1.433
0.903,1.433
0.903,1.433
0.903,1.433
0.903,1.433
0.903,1.433
0.903,1.433
0.903,1.433
0.903,1.433
0.903,1.433
0.95,1.356
0.95,1.356
0.95,1.356
0.95,1.356
0.95,1.356
0.95,1.356
0.95,1.356
0.95,1.356
0.95,1.356
0.95,1.356
0.95,1.356
0.95,1.356
0.95,1.356
0.95,1.356
0.95,1.356
0.95,1.356
0.95,1.356
0.95,1.356
0.95,1.356
0.95,1.356
1.26,2.298
1.26,2.298
1.26,2.298
1.26,2.298
1.26,2.298
1.26,2.298
1.26,2.298
1.26,2.298
1.26,2.298
1.26,2.298
1.26,2.298
1.26,2.298
1.26,2.298
1.26,2.298
1.26,2.298
1.26,2.298
1.26,2.298
1.26,2.298
1.26,2.298
1.26,2.298
1.606,1.2
1.606,1.2
1.606,1.2
1.606,1.2
1.606,1.2
1.606,1.2
1.606,1.2
1.606,1.2
1.606,1.2
1.606,1.2
1.606,1.2
1.606,1.2
1.606,1.2
1.606,1.2
1.606,1.2
1.606,1.2
1.606,1.2
1.606,1.2
1.606,1.2
1.606,1.2
0.95,1.0519999999999998
0.95,1.0519999999999998
0.95,1.0519999999999998
0.95,1.0519999999999998
0.95,1.0519999999999998
0.95,1.0519999999999998
0.95,1.0519999999999998
0.95,1.0519999999999998
0.95,1.0519999999999998
0.95,1.0519999999999998
0.95,1.0519999999999998
0.95,1.0519999999999998
0.95,1.0519999999999998
0.95,1.0519999999999998
0.95,1.0519999999999998
0.95,1.0519999999999998
0.95,1.0519999999999998
0.95,1.0519999999999998
0.95,1.0519999999999998
0.95,1.0519999999999998
3.3360000000000003,2.298
3.3360000000000003,2.298
3.3360000000000003,2.298
3.3360000000000003,2.298
3.3360000000000003,2.298
3.3360000000000003,2.298
3.3360000000000003,2.298
3.3360000000000003,2.298
3.3360000000000003,2.298
3.3360000000000003,2.298
3.3360000000000003,2.298
3.3360000000000003,2.298
3.3360000000000003,2.298
3.3360000000000003,2.298
3.3360000000000003,2.298
3.3360000000000003,2.298
3.3360000000000003,2.298
3.3360000000000003,2.298
3.3360000000000003,2.298
3.3360000000000003,2.298
1.57,1.4680000000000002
1.57,1.4680000000000002
1.57,1.4680000000000002
1.57,1.4680000000000002
1.57,1.4680000000000002
1.57,1.4680000000000002
1.57,1.4680000000000002
1.57,1.4680000000000002
1.57,1.4680000000000002
1.57,1.4680000000000002
1.57,1.4680000000000002
1.57,1.4680000000000002
1.57,1.4680000000000002
1.57,1.4680000000000002
1.57,1.4680000000000002
1.57,1.4680000000000002
1.57,1.4680000000000002
1.57,1.4680000000000002
1.57,1.4680000000000002
1.57,1.4680000000000002
0.95,0.42
0.95,0.42
0.95,0.42
0.95,0.42
0.95,0.42
0.95,0.42
0.95,0.42
0.95,0.42
0.95,0.42
0.95,0.42
0.95,0.42
0.95,0.42
0.95,0.42
0.95,0.42
0.95,0.42
0.95,0.42
0.95,0.42
0.95,0.42
0.95,0.42
0.95,0.42
